"ano_mes_dia","receita_gerada_dia","receita_acumulada_ano"
"2018-02-22",55798.32,1735099.10
"2018-02-23",28610.58,1763709.68
"2018-02-24",24777.37,1788487.05
"2018-02-25",31587.55,1820074.60
"2018-02-26",44673.42,1864748.02
"2018-02-27",47959.67,1912707.69
"2018-02-28",47669.26,1960376.95
"2018-03-01",45863.92,2006240.87
"2018-03-02",33548.28,2039789.15
"2018-03-03",26540.52,2066329.67
"2018-03-04",32719.17,2099048.84
"2018-03-05",46485.07,2145533.91
"2018-03-06",41589.39,2187123.30
"2018-03-07",37967.84,2225091.14
"2018-03-08",30756.44,2255847.58
"2018-03-09",31053.80,2286901.38
"2018-03-10",30045.08,2316946.46
"2018-03-11",33013.49,2349959.95
"2018-03-12",30598.28,2380558.23
"2018-03-13",39175.61,2419733.84
"2018-03-14",27208.45,2446942.29
"2018-03-15",46183.94,2493126.23
"2018-03-16",36872.26,2529998.49
"2018-03-17",22853.41,2552851.90
"2018-03-18",30417.03,2583268.93
"2018-03-19",51581.18,2634850.11
"2018-03-20",38613.82,2673463.93
"2018-03-21",39149.58,2712613.51
"2018-03-22",33323.05,2745936.56
"2018-03-23",33830.43,2779766.99
"2018-03-24",24769.60,2804536.59
"2018-03-25",27994.96,2832531.55
"2018-03-26",40603.24,2873134.79
"2018-03-27",41706.08,2914840.87
"2018-03-28",31203.90,2946044.77
"2018-03-29",30234.96,2976279.73
"2018-03-30",23917.18,3000196.91
"2018-03-31",30951.72,3031148.63
"2018-04-01",29515.88,3060664.51
"2018-04-02",46119.41,3106783.92
"2018-04-03",39120.80,3145904.72
"2018-04-04",40511.15,3186415.87
"2018-04-05",39489.53,3225905.40
"2018-04-06",30239.54,3256144.94
"2018-04-07",27666.41,3283811.35
"2018-04-08",24301.32,3308112.67
"2018-04-09",52785.68,3360898.35
"2018-04-10",29722.37,3390620.72
"2018-04-11",42312.76,3432933.48
"2018-04-12",37562.65,3470496.13
"2018-04-13",34465.64,3504961.77
"2018-04-14",22891.81,3527853.58
"2018-04-15",32615.32,3560468.90
"2018-04-16",42996.55,3603465.45
"2018-04-17",44070.24,3647535.69
"2018-04-18",42938.19,3690473.88
"2018-04-19",57758.45,3748232.33
"2018-04-20",29578.28,3777810.61
"2018-04-21",19505.77,3797316.38
"2018-04-22",29848.97,3827165.35
"2018-04-23",39517.01,3866682.36
"2018-04-24",46271.31,3912953.67
"2018-04-25",43162.55,3956116.22
"2018-04-26",34966.78,3991083.00
"2018-04-27",45530.99,4036613.99
"2018-04-28",24481.03,4061095.02
"2018-04-29",19549.62,4080644.64
"2018-04-30",39026.63,4119671.27
"2018-05-01",33811.06,4153482.33
"2018-05-02",43234.18,4196716.51
"2018-05-03",47666.73,4244383.24
"2018-05-04",41533.60,4285916.84
"2018-05-05",28744.43,4314661.27
"2018-05-06",29430.47,4344091.74
"2018-05-07",60029.88,4404121.62
"2018-05-08",51635.92,4455757.54
"2018-05-09",48886.49,4504644.03
"2018-05-10",59849.09,4564493.12
"2018-05-11",41016.54,4605509.66
"2018-05-12",32764.87,4638274.53
"2018-05-13",34292.34,4672566.87
"2018-05-14",56476.43,4729043.30
"2018-05-15",51656.27,4780699.57
"2018-05-16",59365.37,4840064.94
"2018-05-17",33482.26,4873547.20
"2018-05-18",34402.33,4907949.53
"2018-05-19",27609.44,4935558.97
"2018-05-20",21003.32,4956562.29
"2018-05-21",29272.86,4985835.15
"2018-05-22",31729.63,5017564.78
"2018-05-23",16810.28,5034375.06
"2018-05-24",20147.82,5054522.88
"2018-05-25",21716.69,5076239.57
"2018-05-26",16673.78,5092913.35
"2018-05-27",12704.09,5105617.44
"2018-05-28",29149.49,5134766.93
"2018-05-29",25696.41,5160463.34
"2018-05-30",21648.56,5182111.90
"2018-05-31",27690.99,5209802.89
"2018-06-01",42378.59,5252181.48
"2018-06-02",25860.78,5278042.26
"2018-06-03",29014.13,5307056.39
"2018-06-04",29966.11,5337022.50
"2018-06-05",35825.05,5372847.55
"2018-06-06",29528.42,5402375.97
"2018-06-07",39330.24,5441706.21
"2018-06-08",29407.99,5471114.20
"2018-06-09",31620.63,5502734.83
"2018-06-10",26879.03,5529613.86
"2018-06-11",55415.25,5585029.11
"2018-06-12",43112.94,5628142.05
"2018-06-13",37942.58,5666084.63
"2018-06-14",28674.26,5694758.89
"2018-06-15",28364.82,5723123.71
"2018-06-16",24578.41,5747702.12
"2018-06-17",17816.49,5765518.61
"2018-06-18",37600.55,5803119.16
"2018-06-19",36735.12,5839854.28
"2018-06-20",32074.35,5871928.63
"2018-06-21",28516.42,5900445.05
"2018-06-22",26596.08,5927041.13
"2018-06-23",18715.88,5945757.01
"2018-06-24",25135.77,5970892.78
"2018-06-25",40198.03,6011090.81
"2018-06-26",35410.61,6046501.42
"2018-06-27",27513.68,6074015.10
"2018-06-28",35108.86,6109123.96
"2018-06-29",21104.02,6130227.98
"2018-06-30",15946.43,6146174.41
"2018-07-01",26688.30,6172862.71
"2018-07-02",26804.28,6199666.99
"2018-07-03",28932.60,6228599.59
"2018-07-04",35805.63,6264405.22
"2018-07-05",34193.54,6298598.76
"2018-07-06",19143.03,6317741.79
"2018-07-07",10392.18,6328133.97
"2018-07-08",15635.93,6343769.90
"2018-07-09",19439.04,6363208.94
"2018-07-10",19932.64,6383141.58
"2018-07-11",20885.51,6404027.09
"2018-07-12",28505.05,6432532.14
"2018-07-13",29634.80,6462166.94
"2018-07-14",21601.20,6483768.14
"2018-07-15",40427.58,6524195.72
"2018-07-16",31918.10,6556113.82
"2018-07-17",28549.37,6584663.19
"2018-07-18",44217.23,6628880.42
"2018-07-19",41349.59,6670230.01
"2018-07-20",34742.11,6704972.12
"2018-07-21",21901.20,6726873.32
"2018-07-22",33023.16,6759896.48
"2018-07-23",42089.33,6801985.81
"2018-07-24",43522.13,6845507.94
"2018-07-25",39888.85,6885396.79
"2018-07-26",38993.41,6924390.20
"2018-07-27",29804.31,6954194.51
"2018-07-28",30343.34,6984537.85
"2018-07-29",32071.16,7016609.01
"2018-07-30",38388.98,7054997.99
"2018-07-31",52480.19,7107478.18
"2018-08-01",41788.37,7149266.55
"2018-08-02",38241.37,7187507.92
"2018-08-03",43083.69,7230591.61
"2018-08-04",35825.89,7266417.50
"2018-08-05",38080.41,7304497.91
"2018-08-06",65243.46,7369741.37
"2018-08-07",60253.45,7429994.82
"2018-08-08",49918.68,7479913.50
"2018-08-09",40929.93,7520843.43
"2018-08-10",34585.47,7555428.90
"2018-08-11",27829.24,7583258.14
"2018-08-12",36541.51,7619799.65
"2018-08-13",39441.53,7659241.18
"2018-08-14",47549.76,7706790.94
"2018-08-15",46783.13,7753574.07
